capacity,eightd_has_key_dispenser,electric_bike_surcharge_waiver,external_id,has_kiosk,lat,lon,name,region_id,short_name,station_id,station_type
15,false,false,a3761e59-db36-4b61-8bb3-8d523af69b96,true,39.00048,-77.00077,Garland Ave & Walden Rd,44,32082,a3761e59-db36-4b61-8bb3-8d523af69b96,classic
19,false,false,68eaf9f5-7b2d-4f60-9f02-9f5ba1103f80,true,38.96577499342219,-77.06862643361092,Broad Branch Rd & Northampton St NW,42,31422,68eaf9f5-7b2d-4f60-9f02-9f5ba1103f80,classic
15,false,false,066fd95e-0d37-4eea-a027-88c04277bb9d,true,38.932242581555066,-76.9961330294609,7th & Monroe St NE,42,31534,066fd95e-0d37-4eea-a027-88c04277bb9d,classic
15,false,false,0825df01-1f3f-11e7-bf6b-3863bb334450,true,39.103091,-77.196442,Medical Center Dr & Key West Ave,43,32041,0825df01-1f3f-11e7-bf6b-3863bb334450,classic
11,false,false,0826380c-1f3f-11e7-bf6b-3863bb334450,true,38.970046,-77.338686,North Shore & Cameron Crescent Dr/Crescent Apartments,104,32209,0826380c-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,0a5dbbe0-1325-49af-9fca-f0748ca06dc0,true,38.864838,-77.056873,Army Navy Dr & Fern St,41,31936,0a5dbbe0-1325-49af-9fca-f0748ca06dc0,classic
19,false,false,5dfab137-f65a-41c0-99ef-d58f29a735b2,true,38.9523,-77.361466,Reston Town Center Metro South,104,32258,5dfab137-f65a-41c0-99ef-d58f29a735b2,classic
12,false,false,1874573898176678104,true,38.846972,-77.303349,Blenheim Blvd & North St,,32278,1874573898176678104,classic
15,false,false,987decdd-577d-4614-a6eb-307944a634b4,true,38.908391,-76.843263,1301 McCormick Dr / Wayne K. Curry Admin Bldg,133,32400,987decdd-577d-4614-a6eb-307944a634b4,classic
15,false,false,08259c89-1f3f-11e7-bf6b-3863bb334450,true,38.982456,-77.091991,47th & Elm St,44,32021,08259c89-1f3f-11e7-bf6b-3863bb334450,classic
12,false,false,0825213e-1f3f-11e7-bf6b-3863bb334450,true,38.88397,-77.10783,Central Library / Quincy St & 10th St N,41,31025,0825213e-1f3f-11e7-bf6b-3863bb334450,classic
23,false,false,0824773f-1f3f-11e7-bf6b-3863bb334450,true,38.923203,-77.047637,Calvert & Biltmore St NW,42,31106,0824773f-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,08255063-1f3f-11e7-bf6b-3863bb334450,true,38.908142,-77.038359,17th St & Massachusetts Ave NW,42,31267,08255063-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,082644bc-1f3f-11e7-bf6b-3863bb334450,true,38.90293157359119,-76.99840486049652,6th & K St NE,42,31645,082644bc-1f3f-11e7-bf6b-3863bb334450,classic
11,false,false,082569e6-1f3f-11e7-bf6b-3863bb334450,true,38.867262,-77.072315,Columbia Pike & S Orme St,41,31066,082569e6-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,7a19d0e7-2b3c-4805-b843-1aec84a05bfe,true,38.91261359469192,-77.07432264076488,Reservoir Rd & 38th St NW,42,31325,7a19d0e7-2b3c-4805-b843-1aec84a05bfe,classic
19,false,false,1917259666206632502,true,38.766946,-77.168902,Franconia-Springfield Metro North,,32289,1917259666206632502,classic
12,false,false,85c2fb24-d241-4550-8968-2cdf85462af7,true,38.93051,-77.345874,Soapstone Dr Convenience Center,104,32253,85c2fb24-d241-4550-8968-2cdf85462af7,classic
11,false,false,a77b8993-6d68-425e-a37a-0e613a7cb17a,true,38.87857249314831,-77.23076596856116,Merrilee Dr & Lauren Elizabeth Lane,104,32234,a77b8993-6d68-425e-a37a-0e613a7cb17a,classic
15,false,false,08257325-1f3f-11e7-bf6b-3863bb334450,true,38.985404,-77.023082,Fenton St & New York Ave ,44,32001,08257325-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,0826345e-1f3f-11e7-bf6b-3863bb334450,true,38.929261,-77.240654,Spring Hill Metro,104,32200,0826345e-1f3f-11e7-bf6b-3863bb334450,classic
23,false,false,e823318f-8406-4230-8072-1667f5de78d4,true,38.953691,-77.359717,Reston Town Center Metro North,104,32243,e823318f-8406-4230-8072-1667f5de78d4,classic
15,false,false,0825201c-1f3f-11e7-bf6b-3863bb334450,true,38.928743,-77.012457,1st & Washington Hospital Center NW,42,31507,0825201c-1f3f-11e7-bf6b-3863bb334450,classic
17,false,false,ebbf6e18-684d-4fc9-ad4d-c025b8d76556,true,38.965742,-76.954803,Prince George's Plaza Metro,133,32420,ebbf6e18-684d-4fc9-ad4d-c025b8d76556,classic
15,false,false,cdeeb133-ccd7-418f-a8d7-0b5c5380a8ae,true,38.815842,-77.110014,N Howard St & Taney Ave,40,31943,cdeeb133-ccd7-418f-a8d7-0b5c5380a8ae,classic
11,false,false,0825b2e7-1f3f-11e7-bf6b-3863bb334450,true,38.977093,-77.094589,Offutt Ln & Chevy Chase Dr,44,32029,0825b2e7-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,bed9b757-0df2-4a97-a6ac-415db00e82c8,true,38.89595455700754,-76.9678448436025,Kingman Island/The Fields at RFK,42,31716,bed9b757-0df2-4a97-a6ac-415db00e82c8,classic
15,false,false,0825e4d5-1f3f-11e7-bf6b-3863bb334450,true,38.84065400672152,-77.08865851163864,S Randolph St & Campbell Ave,41,31076,0825e4d5-1f3f-11e7-bf6b-3863bb334450,classic
